   110/299     4.76G   0.03075   0.01859  0.001635   0.05097        55       640    0.9231    0.8734    0.9386    0.5465    0.0407   0.02843    0.0129
   111/299     4.76G   0.03046   0.01829  0.001606   0.05036         8       640    0.9174    0.8779    0.9332    0.5468   0.04042   0.02852   0.01275
   112/299     4.76G   0.03083   0.01838  0.001653   0.05086         8       640    0.9434    0.8603    0.9376    0.5443   0.04033    0.0288   0.01296
   113/299     4.76G   0.03026   0.01813  0.001522   0.04991         8       640    0.9233    0.8658    0.9343    0.5456   0.04031   0.02892   0.01271
   114/299     4.76G   0.03035   0.01793  0.001511   0.04979        13       640    0.9424    0.8504    0.9354    0.5465   0.04007   0.02879   0.01258
   115/299     4.76G   0.03037   0.01848  0.001534   0.05038         4       640    0.9438    0.8473    0.9349    0.5452   0.03998   0.02872   0.01259
   116/299     4.76G   0.02999   0.01784  0.001456   0.04928        18       640    0.9425    0.8464    0.9348    0.5426   0.04011    0.0288   0.01246
   117/299     4.76G   0.03022   0.01832  0.001598   0.05013        28       640    0.8985    0.8885    0.9394    0.5445    0.0402   0.02875   0.01239
   118/299     4.76G   0.03029   0.01814  0.001564      0.05        25       640    0.9417    0.8503    0.9371    0.5474   0.04035    0.0288   0.01237
   119/299     4.76G   0.03037    0.0181  0.001531      0.05        32       640    0.9193    0.8704    0.9362    0.5466   0.04054   0.02889   0.01243
   120/299     4.76G   0.03021   0.01807  0.001473   0.04974        36       640    0.9074    0.8754    0.9357    0.5469   0.04083   0.02878    0.0126
   121/299     4.76G   0.03004   0.01796  0.001523   0.04952        38       640    0.9181    0.8593    0.9359    0.5475   0.04095   0.02873   0.01248
   122/299     4.76G   0.03019   0.01825  0.001606   0.05005        11       640    0.8947    0.8848    0.9339    0.5476   0.04091    0.0288   0.01248
   123/299     4.76G   0.02999   0.01812  0.001554   0.04967        17       640     0.924    0.8615    0.9337    0.5494   0.04074   0.02876    0.0126
   124/299     4.76G   0.03013   0.01829  0.001648   0.05006        65       640     0.902    0.8769    0.9307    0.5477   0.04057   0.02876   0.01274
   125/299     4.76G   0.03027   0.01822  0.001544   0.05004         8       640    0.9173    0.8668    0.9294    0.5463   0.04037   0.02888   0.01273
   126/299     4.76G    0.0299   0.01836  0.001477   0.04973         8       640    0.9157    0.8578    0.9269    0.5475   0.04031   0.02902   0.01273
   127/299     4.76G   0.02995   0.01782  0.001506   0.04927        22       640    0.9016    0.8812    0.9274    0.5471   0.04017   0.02907    0.0126
   128/299     4.76G   0.02989   0.01805  0.001507   0.04945        50       640    0.9309    0.8566     0.929    0.5484   0.04008   0.02908   0.01255
   129/299     4.76G   0.02988   0.01845  0.001538   0.04987        27       640    0.9085    0.8784    0.9307     0.549   0.04005     0.029   0.01256
   130/299     4.76G   0.02991   0.01803  0.001591   0.04953        16       640    0.8948    0.8883    0.9336    0.5524   0.04012    0.0291   0.01252
   131/299     4.76G   0.02969    0.0179  0.001483   0.04907        35       640    0.9025    0.8842    0.9343    0.5532   0.04014   0.02908   0.01239
   132/299     4.76G   0.02978   0.01784  0.001409   0.04903         9       640    0.9237     0.867    0.9333     0.551   0.04011    0.0291   0.01228
   133/299     4.76G   0.02989   0.01778  0.001572   0.04924        60       640    0.9185    0.8726     0.936    0.5531   0.04007   0.02918   0.01221
   134/299     4.76G   0.02967   0.01784  0.001481   0.04899        30       640    0.9153    0.8747    0.9347    0.5549   0.04015   0.02907   0.01226
   135/299     4.76G   0.02955   0.01778  0.001436   0.04877        15       640    0.9231     0.872    0.9349    0.5534   0.04016    0.0291   0.01223
   136/299     4.76G   0.02944    0.0178  0.001555   0.04879        20       640    0.9234    0.8747    0.9357    0.5526   0.04019   0.02908   0.01222
   137/299     4.76G   0.02948   0.01783  0.001452   0.04876        23       640    0.9257    0.8729    0.9352    0.5527   0.04017   0.02908   0.01219
   138/299     4.76G   0.02935   0.01788  0.001441   0.04867        19       640    0.9257    0.8745     0.936     0.553   0.04008   0.02909   0.01216
   139/299     4.76G   0.02943   0.01751  0.001328   0.04827        26       640    0.9247    0.8797    0.9394    0.5543   0.03995   0.02912   0.01217
   140/299     4.76G   0.02911   0.01731  0.001377    0.0478        43       640    0.9208     0.883    0.9407    0.5556   0.03988   0.02913   0.01223
   141/299     4.76G   0.02926   0.01757  0.001427   0.04825         8       640    0.9181    0.8862    0.9416     0.554    0.0399    0.0291   0.01225
   142/299     4.76G   0.02954   0.01787  0.001552   0.04897        36       640    0.9224    0.8845    0.9414    0.5551   0.03988   0.02911   0.01221
   143/299     4.76G   0.02927   0.01783  0.001463   0.04856        22       640    0.9185    0.8861    0.9422    0.5566    0.0399   0.02909   0.01222
